ID,FECHA_HORA,MAGNITUD
1,"2017-05-17 10:15:49.923419",3.48
2,"2017-05-17 10:15:51.230320",0.17
3,"2017-05-17 10:15:52.536873",0.18
4,"2017-05-17 10:15:53.846821",0.19
5,"2017-05-17 10:15:55.156642",0.18
6,"2017-05-17 10:15:56.459207",0.17
7,"2017-05-17 10:15:57.766636",0.18
8,"2017-05-17 10:15:59.070315",0.25
9,"2017-05-17 10:16:00.375021",0.24
10,"2017-05-17 10:16:01.683824",0.26
11,"2017-05-17 10:16:02.990373",0.25
12,"2017-05-17 10:16:04.294841",0.24
13,"2017-05-17 10:16:05.599622",0.25
14,"2017-05-17 10:16:06.904134",0.26
15,"2017-05-17 10:16:08.208204",0.25
16,"2017-05-17 10:16:09.516756",0.24
17,"2017-05-17 10:16:10.820906",0.25
18,"2017-05-17 10:16:12.123553",0.24
19,"2017-05-17 10:16:13.425791",0.25
20,"2017-05-17 10:16:14.737188",0.21
21,"2017-05-17 10:16:16.041998",0.22
22,"2017-05-17 10:16:17.351332",0.21
23,"2017-05-17 10:16:18.658160",0.3
24,"2017-05-17 10:16:19.966800",0.3
25,"2017-05-17 10:16:21.275966",0.25
26,"2017-05-17 10:16:22.584713",0.31
27,"2017-05-17 10:16:23.888225",0.28
28,"2017-05-17 10:16:25.197592",0.29
29,"2017-05-17 10:16:26.505967",0.3
30,"2017-05-17 10:16:27.814542",0.28
31,"2017-05-17 10:16:29.121627",0.29
32,"2017-05-17 10:16:30.431587",0.24
33,"2017-05-17 10:16:31.739877",0.28
34,"2017-05-17 10:16:33.049551",0.3
35,"2017-05-17 10:16:34.358031",0.27
36,"2017-05-17 10:16:35.668040",0.28
37,"2017-05-17 10:16:36.974859",0.28
38,"2017-05-17 10:16:38.280514",0.29
39,"2017-05-17 10:16:39.588028",0.29
40,"2017-05-17 10:16:40.896151",0.3
41,"2017-05-17 10:16:42.204053",0.27
42,"2017-05-17 10:16:43.511239",0.27
43,"2017-05-17 10:16:44.818557",0.29
44,"2017-05-17 10:16:46.121870",0.29
45,"2017-05-17 10:16:47.428760",0.29
46,"2017-05-17 10:16:48.734265",0.29
47,"2017-05-17 10:16:50.042647",0.28
48,"2017-05-17 10:16:51.350455",0.27
49,"2017-05-17 10:16:52.659951",0.29
50,"2017-05-17 10:16:53.967209",0.28
51,"2017-05-17 10:16:55.278126",0.31
52,"2017-05-17 10:16:56.586478",0.31
53,"2017-05-17 10:16:57.890641",0.27
54,"2017-05-17 10:16:59.196885",0.31
55,"2017-05-17 10:17:00.506329",0.29
56,"2017-05-17 10:17:01.813777",0.28
57,"2017-05-17 10:17:03.122835",0.24
58,"2017-05-17 10:17:04.433976",0.29
59,"2017-05-17 10:17:05.742490",0.29
60,"2017-05-17 10:17:07.048094",0.27
61,"2017-05-17 10:17:08.356564",0.31
62,"2017-05-17 10:17:09.664127",0.29
63,"2017-05-17 10:17:10.966881",0.28
64,"2017-05-17 10:17:12.273407",0.29
65,"2017-05-17 10:17:13.581323",0.29
66,"2017-05-17 10:17:14.888093",0.26
67,"2017-05-17 10:17:16.190884",0.28
68,"2017-05-17 10:17:17.492517",0.31
69,"2017-05-17 10:17:18.801431",0.27
70,"2017-05-17 10:17:20.108105",0.31
71,"2017-05-17 10:17:21.413862",0.3
72,"2017-05-17 10:17:22.718212",0.29
73,"2017-05-17 10:17:24.024649",0.27
