ID,FECHA_HORA,MAGNITUD
1,"2017-05-13 13:03:43.767767",9.76
2,"2017-05-13 13:03:45.078861",10.0
3,"2017-05-13 13:03:46.389993",9.99
4,"2017-05-13 13:03:47.700428",10.0
5,"2017-05-13 13:03:49.004896",9.95
6,"2017-05-13 13:03:50.314752",9.83
7,"2017-05-13 13:03:51.623956",9.9
8,"2017-05-13 13:03:52.928996",9.92
9,"2017-05-13 13:03:54.231810",9.94
10,"2017-05-13 13:03:55.542795",9.95
11,"2017-05-13 13:03:56.851776",9.94
12,"2017-05-13 13:03:58.157543",9.94
13,"2017-05-13 13:03:59.465898",9.92
14,"2017-05-13 13:04:00.777035",9.94
15,"2017-05-13 13:04:02.083276",9.93
16,"2017-05-13 13:04:03.389337",9.96
17,"2017-05-13 13:04:04.697832",9.92
18,"2017-05-13 13:04:06.002130",9.91
19,"2017-05-13 13:04:07.305701",9.92
20,"2017-05-13 13:04:08.610759",9.94
21,"2017-05-13 13:04:09.913914",9.91
22,"2017-05-13 13:04:11.214969",9.92
23,"2017-05-13 13:04:12.523881",9.88
24,"2017-05-13 13:04:13.831954",10.01
25,"2017-05-13 13:04:15.138213",9.94
26,"2017-05-13 13:04:16.448878",9.88
27,"2017-05-13 13:04:17.756532",9.99
28,"2017-05-13 13:04:19.063909",9.94
29,"2017-05-13 13:04:20.370094",9.94
30,"2017-05-13 13:04:21.677220",9.92
31,"2017-05-13 13:04:22.986272",9.9
32,"2017-05-13 13:04:24.298349",9.96
33,"2017-05-13 13:04:25.610288",9.98
34,"2017-05-13 13:04:26.917558",9.92
35,"2017-05-13 13:04:28.222479",10.0
36,"2017-05-13 13:04:29.534481",9.93
37,"2017-05-13 13:04:30.839447",9.98
38,"2017-05-13 13:04:32.149509",9.95
39,"2017-05-13 13:04:33.458831",9.97
40,"2017-05-13 13:04:34.767316",9.98
41,"2017-05-13 13:04:36.070574",10.02
42,"2017-05-13 13:04:37.375715",9.94
43,"2017-05-13 13:04:38.682752",10.0
44,"2017-05-13 13:04:39.989646",9.98
45,"2017-05-13 13:04:41.294561",9.97
46,"2017-05-13 13:04:42.601176",9.89
47,"2017-05-13 13:04:43.906950",9.94
48,"2017-05-13 13:04:45.217579",9.92
49,"2017-05-13 13:04:46.530450",9.99
50,"2017-05-13 13:04:47.837364",9.98
51,"2017-05-13 13:04:49.143259",9.97
52,"2017-05-13 13:04:50.451920",9.96
53,"2017-05-13 13:04:51.757920",9.92
54,"2017-05-13 13:04:53.065086",9.94
55,"2017-05-13 13:04:54.367805",9.95
56,"2017-05-13 13:04:55.678220",10.03
57,"2017-05-13 13:04:56.988958",10.0
58,"2017-05-13 13:04:58.294177",9.96
59,"2017-05-13 13:04:59.601386",9.96
60,"2017-05-13 13:05:00.913423",9.97
61,"2017-05-13 13:05:02.215673",9.92
62,"2017-05-13 13:05:03.527200",9.98
63,"2017-05-13 13:05:04.829005",9.93
64,"2017-05-13 13:05:06.138459",9.94
65,"2017-05-13 13:05:07.447846",9.94
66,"2017-05-13 13:05:08.751948",9.97
67,"2017-05-13 13:05:10.053657",9.92
68,"2017-05-13 13:05:11.364064",9.93
69,"2017-05-13 13:05:12.668352",9.92
